Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Richmond,"Melbourne Cricket Ground - Zone 4, Level 1",Brunton Avenue,VIC,3002,2021-05-23,23/05/2021,2:50pm - 6:30pm,Case attended venue,2021-05-26,26/05/2021,9:41 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",14:50:00,18:30:00
Richmond,"Melbourne Cricket Ground - All of the Stadium, other than Zone 4, Level 1 ",Brunton Avenue,VIC,3002,2021-05-23,23/05/2021,2:50pm - 6:30pm,Case attended venue,2021-05-26,26/05/2021,9:41 am,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",14:50:00,18:30:00
South Yarra,Circus Bar,199 Commercial Road,VIC,3181,2021-05-23,23/05/2021,1:30am - 4:15am,Case attended venue,2021-05-26,26/05/2021,8:11 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,01:30:00,04:15:00
Thomastown,ACTROL (Retail Store- refrigerator and airconditioning parts),13-17 Brand Drive,VIC,3074,2021-05-17,17/05/2021,12:00pm - 1:30pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,13:30:00
Thomastown,White Line Automotive,2/28 Lipton Drive,VIC,3074,2021-05-20,20/05/2021,12:00pm - 1:30pm,Case attended venue,2021-05-24,24/05/2021,4:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,13:30:00
Thornbury,Little Tienda,410 Station Street,VIC,3071,2021-05-22,22/05/2021,7:45am - 8:20am,Case attended venue,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:45:00,08:20:00
Reservoir,Doctors on Broadway,210A Broadway,VIC,3073,2021-05-18,18/05/2021,2:00pm - 3:45pm,Case attended venue,2021-05-26,26/05/2021,2:38 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:00:00,15:45:00
Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-20,20/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,2:38 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-21,21/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,2:38 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
Port Melbourne,Stratton Finance HQ,1/435 Williamstown Road,VIC,3207,2021-05-22,22/05/2021,12:00am - 11:59pm,Case attended venue,2021-05-26,26/05/2021,2:38 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
